arm,model,id,step_idx,epoch,efficacy,specificity,soft_shift,prediction_changed
base,Base LLaMA-3B,1759,4,4,99.69866037076939,100.0,0.0,0
base,Base LLaMA-3B,1759,4,5,99.80544051243292,95.0,0.0,0
base,Base LLaMA-3B,1759,5,1,87.28642670679643,95.0,1.5625,0
base,Base LLaMA-3B,1759,5,2,97.25049695074132,100.0,1.953125,0
base,Base LLaMA-3B,1759,5,3,98.27940495741487,100.0,2.34375,0
base,Base LLaMA-3B,1759,5,4,98.81745347409033,100.0,2.734375,0
base,Base LLaMA-3B,1759,5,5,99.16144894745759,100.0,2.34375,0
base,Base LLaMA-3B,1759,7,1,70.4977343825557,95.0,1.5625,0
base,Base LLaMA-3B,1759,7,2,91.14181348853187,95.0,0.390625,0
base,Base LLaMA-3B,1759,7,3,94.62723829134167,100.0,0.0,0
base,Base LLaMA-3B,1759,7,4,95.61487969515582,100.0,0.390625,0
base,Base LLaMA-3B,1759,7,5,96.47645684671544,100.0,1.171875,0
base,Base LLaMA-3B,28,0,1,86.72823380943798,100.0,16.796875,0
base,Base LLaMA-3B,28,0,2,93.42999932006033,100.0,13.28125,0
base,Base LLaMA-3B,28,0,3,95.8238534807669,100.0,19.53125,0
base,Base LLaMA-3B,28,0,4,96.8476792235743,100.0,11.71875,0
base,Base LLaMA-3B,28,0,5,97.30367715371018,100.0,9.375,0
base,Base LLaMA-3B,28,1,1,93.11469840418007,100.0,3.90625,0
base,Base LLaMA-3B,28,1,2,98.80351398984872,100.0,2.34375,0
base,Base LLaMA-3B,28,1,3,99.35956718900344,100.0,6.25,0
base,Base LLaMA-3B,28,1,4,99.586505499304,95.0,7.8125,0
base,Base LLaMA-3B,28,1,5,99.72455328030033,95.0,8.59375,0
base,Base LLaMA-3B,28,2,1,76.88858997655782,100.0,23.046875,0
base,Base LLaMA-3B,28,2,2,88.28770744500207,95.0,30.6640625,0
base,Base LLaMA-3B,28,2,3,92.1979311477981,90.0,34.1796875,1
base,Base LLaMA-3B,28,2,4,94.2918844896113,90.0,38.0859375,1
base,Base LLaMA-3B,28,2,5,95.41340033417802,90.0,43.9453125,1
base,Base LLaMA-3B,28,3,1,85.36676683770854,100.0,-1.5625,0
base,Base LLaMA-3B,28,3,2,91.79150013761011,100.0,-5.46875,0
base,Base LLaMA-3B,28,3,3,94.6167343617248,100.0,-7.421875,0
base,Base LLaMA-3B,28,3,4,95.74148637112124,100.0,-8.203125,0
base,Base LLaMA-3B,28,3,5,96.30013924192961,90.0,-7.03125,0
base,Base LLaMA-3B,28,4,1,89.16790013046916,100.0,-12.890625,0
base,Base LLaMA-3B,28,4,2,97.21808667885125,95.0,-17.578125,0
base,Base LLaMA-3B,28,4,3,98.08802079984869,95.0,-16.796875,0
base,Base LLaMA-3B,28,4,4,98.68591719446465,95.0,-16.015625,0
base,Base LLaMA-3B,28,4,5,99.06817575836021,95.0,-16.015625,0
base,Base LLaMA-3B,28,5,1,93.57278524881859,100.0,27.9296875,0
base,Base LLaMA-3B,28,5,2,97.48306653957724,100.0,34.765625,1
base,Base LLaMA-3B,28,5,3,99.73471716499763,95.0,31.640625,1
base,Base LLaMA-3B,28,5,4,99.92399519524714,95.0,28.515625,0
base,Base LLaMA-3B,28,5,5,99.96295821652025,95.0,25.390625,0
base,Base LLaMA-3B,7-1128,0,1,93.16828024629558,100.0,1.171875,0
base,Base LLaMA-3B,7-1128,0,2,99.08976144366872,100.0,1.171875,0
base,Base LLaMA-3B,7-1128,0,3,99.54230331038995,100.0,2.734375,0
base,Base LLaMA-3B,7-1128,0,4,99.6435454597225,100.0,5.859375,0
base,Base LLaMA-3B,7-1128,0,5,99.67544444771639,100.0,7.8125,0
base,Base LLaMA-3B,7-1128,1,1,91.05488399129757,90.0,6.640625,0
base,Base LLaMA-3B,7-1128,1,2,97.43718135503588,90.0,1.5625,0
base,Base LLaMA-3B,7-1128,1,3,98.00407483243194,95.0,5.078125,0
base,Base LLaMA-3B,7-1128,1,4,98.23860222183055,95.0,5.46875,0
base,Base LLaMA-3B,7-1128,1,5,98.39622907246495,90.0,7.03125,0
base,Base LLaMA-3B,7-1128,2,1,79.52442554024402,90.0,-3.125,0
base,Base LLaMA-3B,7-1128,2,2,92.46745711008072,85.0,-3.515625,0
base,Base LLaMA-3B,7-1128,2,3,95.43128179166355,85.0,-2.34375,0
base,Base LLaMA-3B,7-1128,2,4,96.32893178677742,90.0,-3.125,0
base,Base LLaMA-3B,7-1128,2,5,96.65745435452794,100.0,-2.734375,0
base,Base LLaMA-3B,7-1128,3,1,69.97455508559176,100.0,86.474609375,1
base,Base LLaMA-3B,7-1128,3,2,85.36676683770854,95.0,88.4765625,1
base,Base LLaMA-3B,7-1128,3,3,88.95425610396357,95.0,87.841796875,1
base,Base LLaMA-3B,7-1128,3,4,91.39756600416064,90.0,88.6474609375,1
base,Base LLaMA-3B,7-1128,3,5,92.9788979985012,90.0,88.6474609375,1
base,Base LLaMA-3B,9-504,0,1,85.42381640726595,95.0,37.5,0
base,Base LLaMA-3B,9-504,0,2,95.11759007045801,100.0,49.609375,0
base,Base LLaMA-3B,9-504,0,3,96.94466593775795,100.0,58.984375,1
base,Base LLaMA-3B,9-504,0,4,97.30367715371018,95.0,64.94140625,1
base,Base LLaMA-3B,9-504,0,5,97.46703909663293,95.0,68.1640625,1
base,Base LLaMA-3B,9-504,1,1,77.68698398515703,90.0,3.125,0
base,Base LLaMA-3B,9-504,1,2,93.08775009567289,95.0,-8.203125,0
base,Base LLaMA-3B,9-504,1,3,95.3229377616041,90.0,-10.546875,0
base,Base LLaMA-3B,9-504,1,4,95.93649790820325,85.0,-9.375,0
base,Base LLaMA-3B,9-504,1,5,96.41397199034334,90.0,-9.375,0
base,Base LLaMA-3B,9-504,2,1,86.46647167633873,90.0,-10.9375,0
base,Base LLaMA-3B,9-504,2,2,95.60630663765926,90.0,-14.453125,0
base,Base LLaMA-3B,9-504,2,3,97.11854554435962,80.0,-14.453125,0
base,Base LLaMA-3B,9-504,2,4,97.68468629983603,85.0,-14.453125,0
base,Base LLaMA-3B,9-504,2,5,98.01960724531389,85.0,-14.453125,0
base,Base LLaMA-3B,9-504,3,1,78.03291523454247,85.0,12.5,0
base,Base LLaMA-3B,9-504,3,2,90.69855107893365,90.0,1.5625,0
